state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1(1)a       3.535  0.497  0.123  0.513  0.554  0.319  0.199  0.044
2(1)a       3.738  0.000  0.844  0.695  0.052  0.184  0.000  0.018
3(1)a       4.546  0.001  0.828  0.693  0.073  0.190  0.000  0.019
4(1)a       4.583  0.010  0.074  0.105  0.681  0.759  0.143  0.034
5(1)a       5.198  0.028  0.185  0.428  0.622  0.425  0.075  0.029
7(1)a       5.722  0.000  0.088  0.030  0.552  0.708  0.279  0.180
6(1)a       5.746  0.284  0.717  0.610  0.152  0.254  0.019  0.024
8(1)a       5.965  0.027  0.094  0.215  0.548  0.588  0.254  0.093
9(1)a       6.365  0.006  0.094  0.135  0.541  0.477  0.280  0.302
10(1)a      6.531  0.000  0.089  0.097  0.566  0.710  0.258  0.106
11(1)a      6.706  0.050  0.106  0.449  0.553  0.356  0.193  0.048
12(1)a      6.845  0.002  0.098  0.108  0.576  0.766  0.237  0.038
13(1)a      6.988  0.609  0.020  0.020  0.857  0.874  0.040  0.023
14(1)a      7.202  0.017  0.106  0.407  0.557  0.335  0.247  0.168
15(1)a      7.345  0.000  0.047  0.166  0.807  0.692  0.064  0.061
