state       dE(eV)    f     Om   POSi   POSf     PR     CT     MC     LC   MLCT   LMCT   LLCT  RMSeh
-----------------------------------------------------------------------------------------------------
2(1)a       3.730  0.495  0.878  2.098  1.483  2.112  0.653  0.087  0.260  0.046  0.481  0.126  3.424
1(1)a       3.733  0.000  0.897  1.059  1.239  1.332  0.251  0.736  0.013  0.206  0.044  0.001  2.117
3(1)a       4.512  0.001  0.901  1.081  1.247  1.369  0.268  0.713  0.019  0.206  0.060  0.002  2.094
4(1)a       4.611  0.012  0.898  2.085  1.941  1.487  0.367  0.001  0.631  0.079  0.095  0.193  2.558
5(1)a       5.310  0.019  0.884  1.798  1.529  2.056  0.494  0.191  0.315  0.084  0.314  0.095  2.808
6(1)a       5.709  0.000  0.920  2.239  2.256  1.953  0.458  0.002  0.540  0.082  0.016  0.359  2.559
7(1)a       5.797  0.310  0.888  1.292  1.367  1.770  0.346  0.546  0.109  0.192  0.115  0.038  2.393
8(1)a       6.049  0.019  0.897  2.180  1.845  2.085  0.520  0.051  0.429  0.050  0.205  0.264  2.677
9(1)a       6.389  0.008  0.915  2.202  2.187  2.235  0.495  0.016  0.488  0.082  0.106  0.308  2.897
10(1)a      6.509  0.000  0.915  2.204  2.084  1.846  0.450  0.008  0.542  0.081  0.062  0.306  2.846
12(1)a      6.903  0.052  0.903  2.127  1.915  1.734  0.435  0.014  0.551  0.100  0.113  0.221  2.962
11(1)a      6.928  0.317  0.874  2.051  1.757  1.776  0.429  0.029  0.542  0.068  0.259  0.102  3.150
13(1)a      6.967  0.289  0.903  2.056  1.866  1.514  0.293  0.014  0.692  0.057  0.156  0.080  2.757
15(1)a      7.332  0.001  0.910  2.181  1.877  2.386  0.575  0.038  0.387  0.057  0.285  0.233  3.345
14(1)a      7.352  0.000  0.921  1.984  1.991  1.200  0.154  0.007  0.839  0.019  0.067  0.069  2.379
