state       dE(eV)    f  PRNTO   Z_HE
--------------------------------------
1(1)a       3.738  0.000  1.000  1.036
2(1)a       4.017  0.491  1.000  1.047
3(1)a       4.463  0.001  1.004  1.056
4(1)a       4.649  0.013  1.622  1.802
5(1)a       5.464  0.006  1.414  1.728
6(1)a       5.608  0.000  1.013  1.085
7(1)a       5.886  0.348  1.273  1.562
8(1)a       6.178  0.008  1.306  1.656
10(1)a      6.421  0.000  1.034  1.140
9(1)a       6.423  0.009  1.036  1.140
11(1)a      6.612  0.000  1.000  1.047
13(1)a      6.894  0.004  1.013  1.091
12(1)a      6.935  0.635  1.130  1.348
14(1)a      7.118  0.029  1.177  1.375
15(1)a      7.313  0.001  1.023  1.104
