state       dE(eV)    f     Om   POSi   POSf     PR     CT     MC     LC   MLCT   LMCT   LLCT  RMSeh
-----------------------------------------------------------------------------------------------------
1(1)a       3.736  0.000  0.897  1.058  1.234  1.326  0.248  0.739  0.013  0.203  0.044  0.001  2.102
2(1)a       3.967  0.492  0.881  2.111  1.512  2.123  0.643  0.079  0.278  0.045  0.463  0.136  3.392
3(1)a       4.472  0.001  0.901  1.082  1.244  1.365  0.266  0.715  0.020  0.204  0.060  0.002  2.083
4(1)a       4.643  0.013  0.898  2.093  1.958  1.465  0.350  0.001  0.649  0.076  0.078  0.196  2.530
5(1)a       5.438  0.008  0.887  1.680  1.504  2.140  0.451  0.269  0.280  0.110  0.261  0.080  2.713
6(1)a       5.633  0.000  0.920  2.272  2.363  2.045  0.476  0.001  0.523  0.073  0.009  0.394  2.556
7(1)a       5.870  0.342  0.889  1.411  1.416  1.978  0.375  0.463  0.163  0.167  0.152  0.055  2.477
8(1)a       6.155  0.010  0.897  2.179  1.819  2.092  0.526  0.052  0.422  0.046  0.225  0.255  2.705
9(1)a       6.418  0.009  0.915  2.199  2.165  2.102  0.465  0.013  0.522  0.080  0.089  0.296  2.840
10(1)a      6.441  0.000  0.916  2.226  2.161  1.869  0.448  0.005  0.547  0.076  0.039  0.333  2.779
11(1)a      6.650  0.000  0.835  1.085  1.990  1.123  0.901  0.019  0.080  0.898  0.002  0.002  3.594
13(1)a      6.892  0.005  0.914  2.173  1.991  1.643  0.400  0.007  0.593  0.086  0.052  0.263  2.790
12(1)a      6.940  0.636  0.916  2.009  2.011  1.131  0.097  0.002  0.901  0.031  0.016  0.050  2.202
14(1)a      7.077  0.027  0.857  2.099  1.591  2.141  0.625  0.044  0.331  0.080  0.426  0.119  3.599
15(1)a      7.325  0.000  0.918  1.960  2.058  1.230  0.185  0.004  0.811  0.042  0.041  0.102  2.423
