state       dE(eV)    f     Om   POSi   POSf     PR     CT     MC     LC   MLCT   LMCT   LLCT  RMSeh
-----------------------------------------------------------------------------------------------------
1(1)a       3.768  0.000  0.897  1.058  1.231  1.324  0.246  0.741  0.013  0.201  0.044  0.001  2.092
2(1)a       4.415  0.440  0.883  2.125  1.545  2.125  0.628  0.070  0.302  0.043  0.439  0.146  3.357
3(1)a       4.443  0.001  0.901  1.083  1.243  1.367  0.266  0.714  0.020  0.203  0.061  0.002  2.081
4(1)a       4.697  0.010  0.898  2.100  1.971  1.444  0.335  0.001  0.664  0.072  0.065  0.198  2.506
5(1)a       5.595  0.001  0.921  2.302  2.465  2.094  0.495  0.001  0.504  0.064  0.006  0.425  2.574
6(1)a       5.651  0.002  0.888  1.597  1.495  2.163  0.430  0.319  0.251  0.137  0.221  0.071  2.663
7(1)a       6.086  0.308  0.888  1.511  1.473  2.135  0.410  0.387  0.202  0.160  0.176  0.074  2.571
8(1)a       6.365  0.002  0.899  2.169  1.812  2.063  0.519  0.048  0.433  0.047  0.233  0.239  2.759
9(1)a       6.476  0.001  0.917  2.248  2.238  1.923  0.454  0.003  0.543  0.070  0.024  0.360  2.735
10(1)a      6.501  0.008  0.913  2.194  2.111  1.996  0.446  0.014  0.540  0.074  0.090  0.282  2.793
11(1)a      6.627  0.000  0.835  1.083  1.992  1.120  0.904  0.018  0.078  0.901  0.001  0.002  3.599
12(1)a      6.999  0.002  0.915  2.185  2.019  1.629  0.392  0.005  0.603  0.081  0.037  0.274  2.714
13(1)a      7.035  0.605  0.913  1.998  2.019  1.196  0.140  0.002  0.858  0.059  0.015  0.066  2.267
14(1)a      7.064  0.000  0.844  1.132  1.993  1.179  0.857  0.016  0.127  0.852  0.002  0.002  3.467
15(1)a      7.292  0.001  0.918  1.985  2.151  1.291  0.225  0.002  0.773  0.019  0.027  0.178  2.507
