state       dE(eV)    f  PRNTO   Z_HE
--------------------------------------
2(1)a       3.652  0.496  1.000  1.043
1(1)a       3.734  0.000  1.000  1.045
3(1)a       4.525  0.001  1.004  1.059
4(1)a       4.601  0.011  1.734  1.876
5(1)a       5.266  0.022  1.581  1.835
6(1)a       5.720  0.000  1.009  1.074
7(1)a       5.775  0.299  1.156  1.383
8(1)a       6.015  0.022  1.278  1.602
9(1)a       6.379  0.007  1.013  1.085
10(1)a      6.522  0.000  1.042  1.164
11(1)a      6.813  0.074  1.227  1.489
12(1)a      6.868  0.014  1.081  1.249
14(1)a      6.885  0.000  1.000  1.041
13(1)a      6.977  0.576  1.193  1.468
15(1)a      7.354  0.000  1.135  1.297
