state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1(1)a       3.579  0.496  0.121  0.510  0.555  0.322  0.200  0.044
2(1)a       3.736  0.000  0.844  0.696  0.052  0.183  0.000  0.017
3(1)a       4.538  0.001  0.828  0.693  0.073  0.189  0.000  0.018
4(1)a       4.590  0.011  0.073  0.100  0.680  0.763  0.145  0.034
5(1)a       5.224  0.026  0.197  0.432  0.613  0.421  0.073  0.030
6(1)a       5.723  0.000  0.086  0.027  0.550  0.696  0.283  0.196
7(1)a       5.757  0.289  0.704  0.606  0.163  0.259  0.021  0.024
8(1)a       5.984  0.025  0.093  0.218  0.549  0.586  0.254  0.093
9(1)a       6.370  0.006  0.093  0.129  0.543  0.486  0.279  0.300
10(1)a      6.529  0.000  0.087  0.088  0.566  0.712  0.260  0.114
11(1)a      6.746  0.054  0.106  0.444  0.555  0.361  0.191  0.048
12(1)a      6.852  0.004  0.096  0.100  0.578  0.775  0.237  0.037
13(1)a      6.984  0.604  0.021  0.020  0.854  0.873  0.042  0.024
14(1)a      7.231  0.018  0.104  0.404  0.558  0.338  0.248  0.168
15(1)a      7.352  0.000  0.037  0.127  0.844  0.739  0.038  0.054
