state       dE(eV)    f  PRNTO   Z_HE
--------------------------------------
2(1)a       3.652  0.496  1.056  1.312
1(1)a       3.734  0.000  1.002  1.111
3(1)a       4.525  0.001  1.003  1.114
4(1)a       4.601  0.011  1.749  1.970
5(1)a       5.266  0.022  1.623  2.027
6(1)a       5.720  0.000  1.024  1.156
7(1)a       5.775  0.299  1.228  1.674
8(1)a       6.015  0.022  1.320  1.799
9(1)a       6.379  0.007  1.054  1.222
10(1)a      6.522  0.000  1.046  1.214
11(1)a      6.813  0.074  1.307  1.737
12(1)a      6.868  0.014  1.102  1.346
14(1)a      6.885  0.000  1.007  1.191
13(1)a      6.977  0.576  1.296  1.771
15(1)a      7.354  0.000  1.172  1.438
