state       dE(eV)    f  PRNTO   Z_HE
--------------------------------------
1(1)a       3.535  0.497  1.000  1.050
2(1)a       3.738  0.000  1.005  1.066
3(1)a       4.546  0.001  1.004  1.061
4(1)a       4.583  0.010  1.766  1.899
5(1)a       5.198  0.028  1.618  1.817
7(1)a       5.722  0.000  1.021  1.105
6(1)a       5.746  0.284  1.125  1.327
8(1)a       5.965  0.027  1.266  1.575
9(1)a       6.365  0.006  1.016  1.091
10(1)a      6.531  0.000  1.021  1.108
11(1)a      6.706  0.050  1.181  1.379
12(1)a      6.845  0.002  1.000  1.044
13(1)a      6.988  0.609  1.123  1.334
14(1)a      7.202  0.017  1.012  1.085
15(1)a      7.345  0.000  1.627  1.801
