state       dE(eV)    f  PRNTO   Z_HE
--------------------------------------
1(1)a       3.535  0.497  1.054  1.309
2(1)a       3.738  0.000  1.002  1.111
3(1)a       4.546  0.001  1.003  1.114
4(1)a       4.583  0.010  1.789  1.994
5(1)a       5.198  0.028  1.682  2.051
7(1)a       5.722  0.000  1.024  1.156
6(1)a       5.746  0.284  1.201  1.625
8(1)a       5.965  0.027  1.310  1.784
9(1)a       6.365  0.006  1.052  1.218
10(1)a      6.531  0.000  1.045  1.212
11(1)a      6.706  0.050  1.241  1.625
12(1)a      6.845  0.002  1.029  1.182
13(1)a      6.988  0.609  1.212  1.621
14(1)a      7.202  0.017  1.052  1.237
15(1)a      7.345  0.000  1.681  1.966
