state       dE(eV)    f  PRNTO   Z_HE
--------------------------------------
1(1)a       3.546  0.497  1.000  1.042
2(1)a       3.737  0.000  1.004  1.066
3(1)a       4.544  0.001  1.004  1.061
4(1)a       4.585  0.011  1.762  1.897
5(1)a       5.204  0.027  1.640  1.873
7(1)a       5.723  0.000  1.022  1.107
6(1)a       5.748  0.285  1.128  1.331
8(1)a       5.970  0.027  1.267  1.576
9(1)a       6.366  0.006  1.016  1.090
10(1)a      6.531  0.000  1.022  1.110
11(1)a      6.716  0.051  1.180  1.372
12(1)a      6.847  0.003  1.000  1.046
13(1)a      6.987  0.608  1.125  1.339
14(1)a      7.209  0.017  1.012  1.085
15(1)a      7.347  0.000  1.553  1.745
