state       dE(eV)    f  PRNTO   Z_HE
--------------------------------------
1(1)a       3.546  0.497  1.054  1.309
2(1)a       3.737  0.000  1.002  1.111
3(1)a       4.544  0.001  1.003  1.114
4(1)a       4.585  0.011  1.784  1.992
5(1)a       5.204  0.027  1.677  2.048
7(1)a       5.723  0.000  1.025  1.158
6(1)a       5.748  0.285  1.204  1.630
8(1)a       5.970  0.027  1.311  1.785
9(1)a       6.366  0.006  1.052  1.219
10(1)a      6.531  0.000  1.045  1.212
11(1)a      6.716  0.051  1.244  1.629
12(1)a      6.847  0.003  1.031  1.187
13(1)a      6.987  0.608  1.214  1.626
14(1)a      7.209  0.017  1.052  1.237
15(1)a      7.347  0.000  1.603  1.906
