state       dE(eV)    f     Om   POSi   POSf     PR     CT     MC     LC   MLCT   LMCT   LLCT  RMSeh
-----------------------------------------------------------------------------------------------------
1(1)a       3.535  0.497  0.876  2.087  1.464  2.106  0.659  0.093  0.248  0.047  0.492  0.120  3.443
2(1)a       3.738  0.000  0.897  1.059  1.244  1.339  0.256  0.731  0.013  0.210  0.044  0.001  2.135
3(1)a       4.546  0.001  0.901  1.081  1.252  1.374  0.271  0.709  0.020  0.210  0.060  0.002  2.108
4(1)a       4.583  0.010  0.898  2.077  1.922  1.509  0.384  0.002  0.614  0.081  0.115  0.188  2.586
5(1)a       5.198  0.028  0.882  1.875  1.549  1.980  0.523  0.140  0.337  0.071  0.345  0.108  2.868
7(1)a       5.722  0.000  0.919  2.208  2.163  1.871  0.446  0.005  0.550  0.091  0.028  0.326  2.584
6(1)a       5.746  0.284  0.888  1.215  1.340  1.636  0.325  0.598  0.076  0.209  0.089  0.028  2.337
8(1)a       5.965  0.027  0.896  2.178  1.864  2.075  0.514  0.050  0.436  0.055  0.189  0.270  2.659
9(1)a       6.365  0.006  0.914  2.203  2.182  2.341  0.522  0.021  0.457  0.082  0.127  0.314  2.949
10(1)a      6.531  0.000  0.914  2.185  2.010  1.851  0.459  0.013  0.528  0.085  0.093  0.280  2.930
11(1)a      6.706  0.050  0.852  2.101  1.530  2.125  0.656  0.050  0.294  0.075  0.476  0.106  3.675
12(1)a      6.845  0.002  0.912  2.153  1.923  1.737  0.436  0.015  0.549  0.093  0.103  0.241  2.955
13(1)a      6.988  0.609  0.917  2.022  2.004  1.121  0.087  0.001  0.911  0.021  0.020  0.047  2.194
14(1)a      7.202  0.017  0.910  2.156  1.737  2.434  0.626  0.063  0.311  0.053  0.384  0.189  3.445
15(1)a      7.345  0.000  0.918  2.019  1.886  1.468  0.268  0.023  0.709  0.028  0.157  0.083  2.710
